Colleges,Location,Stream
Saveetha University,"['Chennai, Tamil Nadu']",Dental
Saveetha University,"['Chennai, Tamil Nadu']",Dental
"Manipal College of Dental Sciences (MCODS), Mangalore","['Chennai, Tamil Nadu']",Dental
"Manipal College of Dental Sciences (MCODS), Mangalore","['Chennai, Tamil Nadu']",Dental
Maulana Azad Institute of Dental Sciences,"['Chennai, Tamil Nadu']",Dental
Maulana Azad Institute of Dental Sciences,"['Chennai, Tamil Nadu']",Dental
"A B Shetty Memorial Institute of Dental Sciences (ABSMIDS), Mangalore","['Chennai, Tamil Nadu']",Dental
"A B Shetty Memorial Institute of Dental Sciences (ABSMIDS), Mangalore","['Chennai, Tamil Nadu']",Dental
SRM University Chennai,"['Chennai, Tamil Nadu']",Dental
SRM University Chennai,"['Chennai, Tamil Nadu']",Dental
SRMCRI Chennai,"['Chennai, Tamil Nadu']",Dental
SRMCRI Chennai,"['Chennai, Tamil Nadu']",Dental
SOA Bhubaneswar,"['Chennai, Tamil Nadu']",Dental
SOA Bhubaneswar,"['Chennai, Tamil Nadu']",Dental
Jamia Millia Islamia,"['Chennai, Tamil Nadu']",Dental
Jamia Millia Islamia,"['Chennai, Tamil Nadu']",Dental
JSS Dental College,"['Chennai, Tamil Nadu']",Dental
JSS Dental College,"['Chennai, Tamil Nadu']",Dental
Mahatma Gandhi P.G. Institute of Dental Sciences,"['Chennai, Tamil Nadu']",Dental
Mahatma Gandhi P.G. Institute of Dental Sciences,"['Chennai, Tamil Nadu']",Dental
"Government Dental College & Hospital (GDC), Nagpur","['Chennai, Tamil Nadu']",Dental
"Government Dental College & Hospital (GDC), Nagpur","['Chennai, Tamil Nadu']",Dental
Datta Meghe Institute of Higher Education and Research,"['Chennai, Tamil Nadu']",Dental
Datta Meghe Institute of Higher Education and Research,"['Chennai, Tamil Nadu']",Dental
Narsinhbhai Patel Dental College & Hospital,"['Chennai, Tamil Nadu']",Dental
Narsinhbhai Patel Dental College & Hospital,"['Chennai, Tamil Nadu']",Dental
