Colleges,State
PGIMER Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
Dr. Ambedkar Institute of Hotel Management Catering and Nutrition,"['Arunachal Pradesh', 'Chandigarh']"
"DAV College (DAV), Chandigarh","['Arunachal Pradesh', 'Chandigarh']"
Panjab University,"['Arunachal Pradesh', 'Chandigarh']"
Chitkara School of Hospitality,"['Arunachal Pradesh', 'Chandigarh']"
"Gian Jyoti Institute of Management and Technology, Mohali","['Arunachal Pradesh', 'Chandigarh']"
GMCH Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
CIHM Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
"Government College of Education (GCE), Chandigarh","['Arunachal Pradesh', 'Chandigarh']"
Aryans Group Of Colleges,"['Arunachal Pradesh', 'Chandigarh']"
GHSC Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
PEC Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
Goswami Ganesh Dutta S.D. College,"['Arunachal Pradesh', 'Chandigarh']"
"POST GRADUATE GOVERNMENT COLLEGE FOR GIRLS, SECTOR-11 CHANDIGARH","['Arunachal Pradesh', 'Chandigarh']"
NIT Arunachal Pradesh,"['Arunachal Pradesh', 'Chandigarh']"
North Eastern Regional Institute of Science and Technology,"['Arunachal Pradesh', 'Chandigarh']"
Rajiv Gandhi University,"['Arunachal Pradesh', 'Chandigarh']"
Arunodaya University,"['Arunachal Pradesh', 'Chandigarh']"
Sri Guru Granth Sahib World University,"['Arunachal Pradesh', 'Chandigarh']"
Dr. Harvansh Singh Judge Institute of Dental Sciences & Hospital,"['Arunachal Pradesh', 'Chandigarh']"
"Government Polytechnic for Women (GPW), Chandigarh","['Arunachal Pradesh', 'Chandigarh']"
National Dental College & Hospital,"['Arunachal Pradesh', 'Chandigarh']"
ISTC Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
UBS Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
CCA Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
CCET Chandigarh,"['Arunachal Pradesh', 'Chandigarh']"
