Colleges,State
NIFT PATNA,['Bihar']
Gaya College,['Bihar']
IGIMS Patna,['Bihar']
Mirza Ghalib Teacher s Training College,['Bihar']
IIT Patna,['Bihar']
"International School of Management (ISM), Patna",['Bihar']
Dr. Rajendra Prasad Central Agricultural University,['Bihar']
ITTC Patna,['Bihar']
NIT Patna,['Bihar']
Dr. S.P. Singh College of Teacher Education,['Bihar']
DMC Darbhanga,['Bihar']
NMCH Patna,['Bihar']
IIM Bodh Gaya,['Bihar']
COCAS Patna,['Bihar']
"St. Xavier's College of Education (SXCE), Patna",['Bihar']
"AIIMS Patna, Patna",['Bihar']
Central University of South Bihar,['Bihar']
MIT Muzaffarpur,['Bihar']
PMCH Patna,['Bihar']
A N Magadh Medical College,['Bihar']
IIIT Bhagalpur,['Bihar']
Amity University Patna,['Bihar']
Patna Women's College,['Bihar']
Vardhman Institute of Medical Science,['Bihar']
NIHER Patna,['Bihar']
PDC Patna,['Bihar']
M.V. College,['Bihar']
BCE Bhagalpur,['Bihar']
M.P. College,['Bihar']
Sandip University - Sijoul,['Bihar']
SKMC Muzaffarpur,['Bihar']
NMCH Sasaram,['Bihar']
Dr. B.R. Ambedkar Institute Of Dental Sciences & Hospital,['Bihar']
"Government Polytechnic (GP), Bhagalpur",['Bihar']
BIDSH Patna,['Bihar']
Tirhut College of Agriculture,['Bihar']
DCE Darbhanga,['Bihar']
"Netaji Subhas Institute Of Technology (NSIT), Patna",['Bihar']
Patna College,['Bihar']
K.K. Polytechnic,['Bihar']
Marwari College,['Bihar']
"Delhi Paramedical & Management Institute, Gaya",['Bihar']
Saryug Dental College,['Bihar']
CNLU Patna,['Bihar']
M.K.S. College,['Bihar']
sachchidanand Sinha college,['Bihar']
SITYOG Institute of Technology,['Bihar']
ZAIC Siwan,['Bihar']
KMC Katihar,['Bihar']
GPI Patna,['Bihar']
BN College,['Bihar']
MACET Patna,['Bihar']
MGM's Institute of Biosciences & Technology,['Bihar']
Millia Institute of Technology,['Bihar']
GCE Gaya,['Bihar']
Langat Singh College,['Bihar']
RPSIT Patna,['Bihar']
TRTC Patna,['Bihar']
SATYAM INTERNATIONAL INSTITUTE OF TECHNOLOGY,['Bihar']
Sitamarhi Institute of Technology,['Bihar']
Vidya Vihar Institute of Technology,['Bihar']
Chaudhary Charan Singh college,['Bihar']
"Mahila College (MC), Dehri-On-Sone",['Bihar']
"Government Polytechnic (GP), Muzaffarpur",['Bihar']
K.S.R. College,['Bihar']
Nawada Vidhi Mahavidyalaya,['Bihar']
Vanijya Mahavidyalaya,['Bihar']
R.B. College,['Bihar']
Loknayak Jai Prakash Institute of Technology,['Bihar']
M.A.M. College,['Bihar']
"Dr. C.V. Raman University, Bihar",['Bihar']
TNB Law College,['Bihar']
RRSDCE Begusarai,['Bihar']
KEC Katihar,['Bihar']
D.K. College,['Bihar']
"Bihar Agricultural College, Sabour",['Bihar']
A. N. Sinha Institute of Social Studies,['Bihar']
BCE Patna,['Bihar']
Maharaja Law College,['Bihar']
R.P. College,['Bihar']
SAMC Patna,['Bihar']
"Government Women's Polytechnic (GWP), Patna",['Bihar']
Bharat Institute of Aeronautics,['Bihar']
Catalyst Institute of Management and Advance Global Excellence,['Bihar']
ADWAITA MISSION INSTITUTE OF TECHNOLOGY,['Bihar']
Moti Babu Institute of Technology,['Bihar']
Sanjay Gandhi Institute of Dairy Technology,['Bihar']
IIBM Patna,['Bihar']
R.M.M. Law College,['Bihar']
Prabhu Kailash Polytechnic,['Bihar']
"Government Polytechnic (GP), Saharsa",['Bihar']
Chandragupt Institute Of Management,['Bihar']
BCP Patna,['Bihar']
NGP Patna,['Bihar']
Braja Mohan Thakur Law College,['Bihar']
MS College Motihari,['Bihar']
Patna Law College,['Bihar']
Vidyadaan Institute of Technology and Management,['Bihar']
C.M. Law College,['Bihar']
Nitishwar Mahavidyalaya,['Bihar']
"AZMET INSTITUTE OF TECHNOLOGY (AIT), Kishanganj",['Bihar']
Lakshmi Narayan College,['Bihar']
ANC Patna,['Bihar']
DS College Katihar,['Bihar']
Narayan College,['Bihar']
BINP Patna,['Bihar']
NSIP Patna,['Bihar']
Shakuntalam ITI,['Bihar']
ZEE EDUCATION FOUNDATION INSTITUTE OF PHARMACY,['Bihar']
MAHADEVA LAL SCHROFF COLLEGE OF PHARMACY,['Bihar']
"KURMA SANSKRITI INSTITUTE OF PHARMACEUTICAL SCIENCE,JEHANABAD",['Bihar']
Nibha Institute of Pharmaceutical Sciences,['Bihar']
"Pt. U.S.T.M. College, Bagaha",['Bihar']
Jannayak Karpuri Thakur Vidhi Mahavidhyalaya,['Bihar']
Anjabit Singh College,['Bihar']
Shivnandan Prasad Law college,['Bihar']
Magadh Mahila College,['Bihar']
DAMCH Siwan,['Bihar']
Nalanda Mahila College,['Bihar']
Tapindu Institute Of Higher Studies,['Bihar']
MJK College,['Bihar']
PATNA SAHIB TECHNICAL CAMPUS,['Bihar']
S. K. J Law College,['Bihar']
NCE Nalanda,['Bihar']
Patna Sahib Group of Colleges,['Bihar']
"Institute Of Business Management (IBM), Darbhanga",['Bihar']
Government Women s Polytechnic,['Bihar']
Nagendra Jha Mahila College,['Bihar']
Jagdam College,['Bihar']
B.R.B. COLLEGE,['Bihar']
GEMA Patna,['Bihar']
Shri Bhagwan College of Pharmacy,['Bihar']
MKCET Kishanganj,['Bihar']
K.G.N ITI,['Bihar']
Gautam Buddha Pvt Industrial Training Institute,['Bihar']
"M.P. College, Balsara",['Bihar']
R.K.A. Vidhi College,['Bihar']
"B.S. Vidhi Sansthan, Munger",['Bihar']
MAHESH SINGH YADAV COLLEGE,['Bihar']
NORTH INDIA COMPUTER & ELECTRONICS PATNA,['Bihar']
"Vidhi Mahavidyalaya, Samastipur",['Bihar']
LBKMC Saharsa,['Bihar']
M.R.M. College,['Bihar']
Sunderwati Mahila College,['Bihar']
Jaglal Choudhary College,['Bihar']
G.M.R.D. College,['Bihar']
Siddhartha Institute of Technology (ITI),['Bihar']
Ganga Singh College,['Bihar']
Millia Group Of Institutions,['Bihar']
SKMC Begusarai,['Bihar']
RP COLLEGE OF PHARMACY(B.PHARMACY),['Bihar']
S.B.N.M. D. PHARMACY COLLEGE ALANI,['Bihar']
Jai Prakash Mahila College,['Bihar']
BRM College,['Bihar']
Sumitra Mahila College,['Bihar']
TNB Bhagalpur,['Bihar']
"SERSHAH ENGINEERING COLLEGE, SASARAM",['Bihar']
"B. P. MANDAL COLLEGE OF ENGINEERING, MADHEPURA",['Bihar']
H. P. S. College,['Bihar']
R.P.S College,['Bihar']
MGM Patna,['Bihar']
Maharani Kalyani College,['Bihar']
LND Motihari,['Bihar']
Forbesganj College,['Bihar']
Ganga Memorial College of Polytechnic,['Bihar']
J.L.N. College,['Bihar']
Bihar Private Industrial Training Institutes,['Bihar']
Buddha Industrial Training Institute,['Bihar']
Imarat Mojiba Technical Institute,['Bihar']
Narayan Industrial Training Institute,['Bihar']
Kirti Nath Hahnemannian Medical College,['Bihar']
Neelam Singh Institute of Science & Technology,['Bihar']
Adwaita Mission Industrial Training Institute,['Bihar']
Dhanraj Singh College,['Bihar']
Ganga Devi Mahila Mahavidyalaya,['Bihar']
Salfia Unani Medical College,['Bihar']
K. K. Polytechnic,['Bihar']
Sachidanand College,['Bihar']
JDWC Patna,['Bihar']
Mohammad Hussain Azad National Degree College,['Bihar']
Exalt College of Engineering and Technology,['Bihar']
Dr Ram Manohar Lohiya Smarak College,['Bihar']
G.D.Memorial Homoeopathic Medical College,['Bihar']
R.D.Kedia Homoeopathic Medical College,['Bihar']
SBSS Begusarai,['Bihar']
S.M.S.G. College,['Bihar']
Ram Nirikshan Atma Ram College,['Bihar']
"Azmet College of Engineering and Technology (ACET), Patna",['Bihar']
Buddha Institute of Technology Polytechnic College,['Bihar']
Ganesh Dutt College,['Bihar']
